ID;P4Edad;RegiónID;LugarEntrevista;Pc1ViveSC;Pc2ViveOtrasPersonas;Pc3RespondióAntes;Pc4RespondióCuestMeses;P10TiempoCalleAños;P10TiempoCalleMeses;P10TiempoCalleDías;P11EdadInicioCalle;P12RazónCalle;P13DurmióAnoche;P14DurmióAnocheLugar;P15AccesoAgua;P15AccesoDucha;P15AccesoWc;P16VecesCalle;P17ASaludVisual;P17BSaludAuditivo;P17CSaludCaminar;P17DSaludRecordar;P17ESaludAseo;P17FSaludEntender;P17GSaludSociable;P17HSaludMotricidad;P17ISaludTrabajar;P17JSaludDormir;P17KSaludRespirar;P17LSaludCuidarOtros;P18EnfCrónica;P19EnfCrónicaTrat;P20AConsumoAlcohol;P20BConsumoMarihuana;P20CConsumoPastaBase;P20DConsumoOtras;P21ProtocoloRsh;P22Indígena;P23AsisteEducac;P24Curso;P25TipoEducación;P26Trabaja;P27Contrato;P28IngresoTrabajo;P29IngresoJubilac;FechaCreación;RSH
14710;18 a 44;Metropolitana;7;1;1;2;;1;0;0;8;1;1;;1;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;1;;;;;;;;;20210730;Tiene RSH
14711;18 a 44;Metropolitana;1;1;1;2;;1;;;17;1;1;;3;3;2;;2;1;3;1;1;1;1;1;2;1;1;1;2;;1;2;1;1;1;;;;;;;;;20170101;Tiene RSH
14712;45 a 59;Metropolitana;4;1;2;2;;;2;;;1;1;;;;;;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;;;;;;;;;;20180320;Tiene RSH
14713;18 a 44;Metropolitana;4;1;1;2;;4;;;;1;2;8;1;1;1;;2;1;1;1;1;1;1;1;1;2;1;1;2;;1;1;1;2;;;;;;;;;;20180321;Tiene RSH
14714;45 a 59;Metropolitana;7;1;1;2;;8;0;0;44;1;1;;2;2;2;5;1;2;1;1;2;2;1;2;2;1;2;2;2;;2;2;1;2;1;;;;;;;;;20211015;Tiene RSH
14715;18 a 44;Metropolitana;7;1;1;2;;;3;;;1;1;;1;1;1;;1;1;1;1;2;1;1;1;4;1;1;1;2;;1;1;1;2;;;;;;;;;;20180201;No tiene RSH
14716;18 a 44;Metropolitana;7;1;1;2;;9;0;0;18;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;1;;;;;;;;;20211021;Tiene RSH
14717;45 a 59;Metropolitana;10;1;1;1;2;1;0;0;55;1;1;;1;1;1;5;1;1;5;1;4;1;1;1;4;3;2;4;2;;2;2;2;2;1;;;;;;;;;20210422;Tiene RSH
14718;18 a 44;Metropolitana;7;1;1;2;;15;0;0;20;1;1;;1;2;2;5;3;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;;;;;;;;;20211123;Tiene RSH
14719;45 a 59;Metropolitana;7;1;1;2;;15;;;18;1;2;5;3;3;2;;1;3;3;4;1;1;1;1;1;5;3;1;1;1;1;1;2;2;1;;;;;;;;;20170101;Tiene RSH
14720;18 a 44;Metropolitana;7;1;1;2;;1;;;;1;1;;1;3;2;;1;4;3;3;2;3;3;1;3;5;3;3;2;;1;1;2;2;1;;;;;;;;;20180726;Tiene RSH
14721;45 a 59;Metropolitana;7;1;1;2;;2;0;0;46;2;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;1;;;;;;;;;20211020;Tiene RSH
14722;18 a 44;Metropolitana;7;1;2;2;;5;;;;1;2;5;1;1;1;;2;2;2;2;2;2;2;2;2;2;2;2;2;;2;2;2;2;;;;;;;;;;20180725;Tiene RSH
14723;18 a 44;Metropolitana;1;1;1;2;;3;;;;1;1;;1;2;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;0;2;4;3;;1;;;20170101;Tiene RSH
14724;45 a 59;Metropolitana;6;1;2;2;;20;0;0;20;1;1;;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;1;2;2;2;0;2;3;1;2;;;0;20211028;Tiene RSH
14725;60 o mayor;Metropolitana;10;1;2;2;;;9;;;2;1;;1;2;2;;2;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20180823;Tiene RSH
14726;18 a 44;Metropolitana;7;1;1;2;;10;0;0;30;2;1;;2;2;2;5;2;2;3;2;1;2;1;1;3;3;1;1;1;2;2;2;2;2;1;;;;;;;;;20211020;Tiene RSH
14727;18 a 44;Metropolitana;6;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20170622;Tiene RSH
14728;45 a 59;Metropolitana;7;1;1;2;;10;;;21;1;2;5;1;1;1;;1;1;1;3;1;2;2;1;4;3;1;1;1;2;2;2;2;2;1;;;;;;;;;20170101;Tiene RSH
14729;45 a 59;Metropolitana;7;1;2;2;;15;0;0;40;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20211015;Tiene RSH
14730;45 a 59;Metropolitana;12;1;1;2;;2;;;40;1;2;5;1;2;2;;3;1;1;2;1;1;1;4;2;3;1;1;1;2;1;2;2;2;1;;;;;;;;;20170913;Tiene RSH
14731;18 a 44;Metropolitana;6;1;1;2;;;1;;;1;1;;;;;;1;1;1;3;1;2;1;2;1;2;1;;1;2;1;1;2;2;;;;;;;;;;20180905;Tiene RSH
14732;18 a 44;Metropolitana;7;1;1;2;;10;;;16;1;1;;3;3;2;;1;1;1;1;1;1;1;1;1;2;1;1;;;1;2;1;2;;;;;;;;;;20170811;Tiene RSH
14733;18 a 44;Metropolitana;7;1;1;2;;;8;;;2;1;;1;2;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;1;;;;;;;;;20170721;Tiene RSH
14734;60 o mayor;Metropolitana;6;1;1;2;;2;;;;1;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
14735;18 a 44;Metropolitana;7;1;1;2;;9;0;0;31;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;1;;;;;;;;;20211025;Tiene RSH
14736;45 a 59;Metropolitana;7;1;1;2;;6;;;10;1;1;;1;3;2;;2;1;3;1;3;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20170720;Tiene RSH
14737;45 a 59;Metropolitana;7;1;2;2;;10;0;0;42;1;1;;2;2;2;5;1;1;3;1;1;1;1;1;5;5;5;1;1;2;1;2;1;2;2;4;2;4;4;2;;;0;20211006;Tiene RSH
14738;45 a 59;Metropolitana;7;1;1;2;;1;;;;1;1;;1;3;2;;2;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;1;2;1;;;;;;;;;20170724;Tiene RSH
14739;18 a 44;Metropolitana;10;1;1;2;;0;2;0;31;5;1;;1;1;1;5;1;1;2;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20210730;Tiene RSH
14740;60 o mayor;Metropolitana;6;1;1;2;;21;0;0;40;1;1;;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20211028;Tiene RSH
14741;60 o mayor;Metropolitana;10;1;1;2;;21;0;0;41;1;1;;2;2;2;5;4;4;5;1;4;1;1;1;1;1;1;1;1;2;1;2;1;2;2;0;2;7;1;2;;;140000;20211108;Tiene RSH
14742;45 a 59;Metropolitana;7;1;1;2;;15;0;0;9;1;1;;2;2;2;5;2;1;4;4;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;4;2;4;1;1;2;50000;0;20211015;Tiene RSH
14743;18 a 44;Metropolitana;7;1;1;2;;10;0;0;20;1;1;;1;2;2;5;4;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;1;1;;;;;;;;;20211021;Tiene RSH
14744;60 o mayor;Metropolitana;1;1;1;2;;;2;;;1;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;2;;;;;1;;;;;;;;;20170904;Tiene RSH
14745;45 a 59;Metropolitana;6;1;1;2;;1;6;0;15;2;1;;1;1;1;5;3;4;3;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;;;;;;;;;20211104;Tiene RSH
14746;45 a 59;Metropolitana;7;1;1;2;;8;;;41;1;1;;1;1;1;;4;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;9;1;;;;;;;;;20170101;Tiene RSH
14747;60 o mayor;Metropolitana;7;1;1;2;;9;;;;1;2;1;1;3;2;;1;1;1;2;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
14748;45 a 59;Metropolitana;6;1;1;2;;2;;;;2;2;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;0;2;4;2;;;;;20170822;Tiene RSH
14749;18 a 44;Metropolitana;7;1;1;2;;0;2;0;12;1;1;;1;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;1;1;2;1;;;;;;;;;20211022;Tiene RSH
14750;60 o mayor;Metropolitana;7;1;1;2;;27;;;;1;2;5;1;3;1;;2;2;1;4;1;2;1;1;4;1;1;1;1;2;1;7;2;7;1;;;;;;;;;20180823;Tiene RSH
14751;45 a 59;Metropolitana;7;1;1;2;;0;2;0;58;2;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20220105;Tiene RSH
14752;45 a 59;Metropolitana;7;1;2;2;;0;0;15;46;2;1;;1;2;2;4;1;3;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;;;;;;;;;20211222;Tiene RSH
14753;45 a 59;Metropolitana;7;1;1;2;;12;0;0;13;1;1;;1;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;1;;;;;;;;;20211021;Tiene RSH
14754;60 o mayor;Metropolitana;7;1;1;2;;40;0;0;25;1;1;;2;2;2;5;1;1;3;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20211015;Tiene RSH
14755;18 a 44;Metropolitana;1;1;1;2;;0;1;0;43;2;1;;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20211109;Tiene RSH
14756;60 o mayor;Metropolitana;7;1;1;2;;1;0;0;65;2;2;5;2;2;2;5;1;3;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;1;;;;;;;;;20211006;Tiene RSH
14757;18 a 44;Metropolitana;7;1;1;1;2;0;6;0;34;2;1;;1;1;2;5;1;1;1;1;1;1;1;3;1;1;1;1;2;;1;1;1;2;1;;;;;;;;;20211021;Tiene RSH
14758;60 o mayor;Metropolitana;4;1;1;2;;5;;;;1;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;;;;;;;;;20171201;Tiene RSH
14759;60 o mayor;Metropolitana;7;1;1;2;;50;;;;1;1;;3;3;2;;1;4;1;4;4;4;1;1;1;1;1;4;2;;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
14760;45 a 59;Metropolitana;7;1;1;2;;45;;;;1;1;;1;2;2;;3;1;1;1;;1;1;3;1;2;1;1;2;;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
14761;45 a 59;Metropolitana;6;1;1;2;;3;6;;9;1;1;;1;1;1;;3;1;1;2;1;2;1;2;2;1;2;1;2;;2;1;2;2;2;0;2;6;1;1;4;;;20170101;Tiene RSH
14762;45 a 59;Metropolitana;7;1;1;2;;4;0;0;51;1;2;5;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20211018;Tiene RSH
14763;18 a 44;Metropolitana;7;1;1;2;;10;;;11;1;2;5;3;3;2;;1;1;2;4;1;3;1;1;1;5;1;4;2;;1;1;1;1;1;;;;;;;;;20170101;Tiene RSH
14764;45 a 59;Metropolitana;7;1;1;2;;5;0;0;36;2;1;;2;2;2;5;2;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;1;;;;;;;;;20211026;Tiene RSH
14765;18 a 44;Metropolitana;7;1;1;1;2;6;0;0;15;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;1;;;;;;;;;20211008;Tiene RSH
14766;18 a 44;Metropolitana;6;1;1;2;;;;14;27;2;2;1;;;;;1;3;1;1;1;1;1;1;1;2;1;1;1;1;2;2;2;2;1;;;;;;;;;20180726;Tiene RSH
14767;45 a 59;Metropolitana;10;1;1;2;;1;0;0;54;1;1;;1;1;1;5;4;1;4;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;;;;;;;;;20220318;Tiene RSH
14768;45 a 59;Metropolitana;7;1;2;2;;5;;;12;1;1;;1;1;1;;3;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;;;;;;;;;;20170710;Tiene RSH
14769;45 a 59;Metropolitana;7;1;1;2;;41;0;0;10;8;1;;1;2;2;5;3;2;1;1;1;1;1;1;1;1;1;1;2;;1;2;1;2;1;;;;;;;;;20211021;Tiene RSH
14770;60 o mayor;Metropolitana;9;1;1;2;;0;4;0;16;2;1;;1;1;1;5;2;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20210730;Tiene RSH
14771;18 a 44;Metropolitana;7;1;1;2;;27;0;0;9;1;1;;1;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;1;2;1;;;;;;;;;20211021;Tiene RSH
14772;60 o mayor;Metropolitana;7;1;1;2;;10;;;;2;2;5;1;2;2;;3;2;2;2;1;2;4;1;2;1;2;4;1;1;2;2;2;2;1;;;;;;;;;20170101;Tiene RSH
14773;18 a 44;Metropolitana;7;1;2;2;;;8;;;1;2;8;1;2;2;;1;1;1;3;1;2;1;1;1;2;2;1;1;2;1;1;2;2;;;;;;;;;;20170721;Tiene RSH
14774;60 o mayor;Metropolitana;1;1;2;2;;3;0;0;55;1;1;;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20211109;Tiene RSH
14775;18 a 44;Metropolitana;7;1;1;2;;1;2;;;1;1;;1;3;2;;1;1;1;1;1;1;1;1;1;1;4;1;2;;2;1;1;1;1;;;;;;;;;20180924;Tiene RSH
14776;45 a 59;Metropolitana;7;1;1;2;;5;;;35;1;2;5;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;1;1;1;;;;;;;;;20170101;Tiene RSH
14777;45 a 59;Metropolitana;7;1;1;2;;12;0;0;32;1;1;;1;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20211026;Tiene RSH
14778;60 o mayor;Metropolitana;4;1;1;2;;5;;;60;1;1;;1;1;1;;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;;;;;;;;;20170101;Tiene RSH
14779;60 o mayor;Metropolitana;7;1;1;2;;30;;;10;1;1;;3;3;2;;1;1;2;1;1;1;1;1;1;1;1;1;2;;2;1;2;2;1;;;;;;;;;20170720;Tiene RSH
14780;60 o mayor;Metropolitana;7;1;1;2;;7;0;0;8;1;1;;1;2;2;5;3;1;3;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;1;;;;;;;;;20211116;Tiene RSH
14781;45 a 59;Metropolitana;10;1;1;2;;2;0;0;52;1;1;;2;2;2;5;1;3;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20211020;Tiene RSH
14782;45 a 59;Metropolitana;7;1;1;2;;;11;;;2;1;;1;2;1;;2;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;;;;;;;;;;20190809;Tiene RSH
14783;60 o mayor;Metropolitana;7;1;1;2;;4;;;;1;2;1;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;2;0;2;4;2;2;;0,166666667;20,83333333;20170811;Tiene RSH
14784;45 a 59;Metropolitana;7;1;1;2;;1;0;0;12;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;1;;;;;;;;;20211008;Tiene RSH
14785;18 a 44;Metropolitana;7;1;1;2;;10;;;18;2;2;5;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;1;;;;;;;;;20170901;Tiene RSH
14786;45 a 59;Metropolitana;2;1;1;2;;;6;;;1;1;;1;3;2;;2;1;1;3;1;1;1;2;1;5;4;1;2;;1;2;2;1;1;;;;;;;;;20190307;Tiene RSH
14787;45 a 59;Metropolitana;10;1;1;2;;3;0;0;16;1;2;6;1;1;1;5;3;1;2;3;1;1;1;1;2;2;1;1;1;2;1;2;2;2;1;;;;;;;;;20210331;Tiene RSH
14788;18 a 44;Metropolitana;7;1;1;2;;1;;;;1;1;;1;3;2;;2;1;1;2;2;2;2;1;1;5;3;2;2;;1;2;2;2;1;;;;;;;;;20180726;Tiene RSH
14789;45 a 59;Metropolitana;10;1;2;2;;7;;;;1;1;;1;2;2;;3;2;3;1;3;1;1;1;3;2;1;1;1;2;1;2;2;2;1;;;;;;;;;20190327;Tiene RSH
14790;18 a 44;Metropolitana;7;1;1;2;;5;;;;1;2;5;3;3;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;1;2;1;;;;;;;;;20170101;Tiene RSH
14791;60 o mayor;Metropolitana;6;1;2;2;;25;0;0;20;1;1;;1;1;1;5;1;1;3;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;0;2;7;1;2;;;0;20211028;Tiene RSH
14792;45 a 59;Metropolitana;7;1;1;2;;20;0;0;39;2;1;;2;2;2;5;3;4;1;1;1;1;1;1;1;4;1;1;2;;2;2;1;2;1;;;;;;;;;20211014;Tiene RSH
14793;18 a 44;Metropolitana;7;1;1;2;;17;0;0;24;1;1;;2;2;2;5;3;2;2;2;1;1;1;1;1;3;1;1;1;1;1;2;2;1;1;;;;;;;;;20211123;Tiene RSH
14794;45 a 59;Metropolitana;7;1;1;2;;15;0;0;18;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;;;;;;;;;20211022;Tiene RSH
14795;45 a 59;Metropolitana;7;1;1;2;;10;0;0;25;1;1;;1;2;2;5;2;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;1;;;;;;;;;20211125;Tiene RSH
14796;18 a 44;Metropolitana;7;1;1;2;;3;;;8;1;1;;1;2;2;;1;1;1;2;1;1;1;1;1;6;1;1;1;2;1;2;2;2;1;;;;;;;;;20180924;Tiene RSH
14797;18 a 44;Metropolitana;10;1;1;2;;;6;;;1;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;;;;;;;;;;20190416;Tiene RSH
14798;45 a 59;Metropolitana;7;1;1;2;;2;;;;1;2;5;3;3;2;;4;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20170101;Tiene RSH
14799;45 a 59;Metropolitana;7;1;2;2;;3;0;0;49;1;1;;1;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;1;;;;;;;;;20211116;Tiene RSH
14800;45 a 59;Metropolitana;1;1;1;2;;15;;;;1;1;;1;2;2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;;;;;;;;;20170101;Tiene RSH
14801;18 a 44;Metropolitana;7;1;1;2;;11;0;0;11;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20211028;Tiene RSH
14802;60 o mayor;Metropolitana;7;1;1;2;;20;0;0;35;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20211111;Tiene RSH
14803;18 a 44;Metropolitana;7;1;2;2;;2;0;0;39;1;1;;2;2;2;5;1;1;3;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20211013;Tiene RSH
14804;45 a 59;Metropolitana;7;1;1;2;;1;9;0;22;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;1;1;;;;;;;;;20211022;Tiene RSH
14805;60 o mayor;Metropolitana;7;1;1;2;;1;0;0;77;1;2;6;2;2;2;5;2;5;2;5;2;3;2;2;2;2;2;2;1;2;2;2;2;2;1;;;;;;;;;20211006;Tiene RSH
14806;18 a 44;Metropolitana;10;1;1;2;;2;0;0;11;1;1;;1;2;2;5;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;1;2;2;1;;;;;;;;;20210810;Tiene RSH
14807;60 o mayor;Metropolitana;7;1;1;2;;;7;;;1;2;1;1;1;1;;4;1;1;4;1;1;1;1;1;4;1;1;2;;1;2;2;2;2;;;;;;;;;20170829;Tiene RSH
14808;18 a 44;Metropolitana;1;1;1;2;;3;0;0;33;1;1;;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20211109;Tiene RSH
14809;60 o mayor;Metropolitana;12;1;2;2;;2;0;0;59;2;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;2;0;2;3;1;2;;;0;20211006;Tiene RSH
14810;18 a 44;Metropolitana;7;1;1;2;;6;0;0;18;1;1;;2;2;2;5;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;2;1;2;1;;;;;;;;;20211118;Tiene RSH
14811;60 o mayor;Metropolitana;7;1;1;2;;5;0;0;60;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20210729;Tiene RSH
14812;18 a 44;Metropolitana;7;1;1;2;;1;;;18;1;1;;3;3;2;;1;;;;;;;;;;;;2;;1;;;;1;;;;;;;;;20180626;Tiene RSH
14813;60 o mayor;Metropolitana;7;1;1;2;;4;0;0;57;1;1;;2;2;2;5;3;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;1;;;;;;;;;20211014;Tiene RSH
14814;60 o mayor;Metropolitana;7;1;1;2;;30;;;;1;2;5;;;;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;;;;;;;;;;20170811;Tiene RSH
14815;18 a 44;Metropolitana;7;1;1;2;;8;;;25;5;2;5;1;2;2;;1;1;1;1;1;1;1;2;2;1;1;1;1;2;2;1;1;2;1;;;;;;;;;20170101;Tiene RSH
14816;45 a 59;Metropolitana;7;1;2;2;;1;0;0;44;1;1;;2;2;2;5;3;1;4;1;2;2;3;2;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20210722;Tiene RSH
14817;18 a 44;Metropolitana;10;1;1;2;;3;;;27;9;1;;3;3;2;;3;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;2;2;;;;;;;;;;20190809;Tiene RSH
14818;45 a 59;Metropolitana;;1;1;2;;;;;;;2;5;1;3;2;;2;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;1;;;;;;;;;20170101;Tiene RSH
14819;45 a 59;Metropolitana;7;1;1;2;;4;0;0;43;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20211124;Tiene RSH
14820;45 a 59;Metropolitana;6;1;1;2;;2;0;0;46;2;1;;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20211104;Tiene RSH
14821;45 a 59;Metropolitana;7;1;1;2;;30;;;;5;1;;1;3;2;;3;3;5;3;5;2;2;3;5;3;3;5;1;1;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
14822;18 a 44;Metropolitana;4;1;1;2;;;6;;;1;1;;1;1;1;;3;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20180528;Tiene RSH
14823;18 a 44;Metropolitana;4;1;1;2;;1;;;;1;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;3;1;1;2;1;2;2;2;;;;;;;;;;20180727;Tiene RSH
14824;18 a 44;Metropolitana;6;1;1;2;;1;6;;;4;1;;1;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20180321;Tiene RSH
14825;45 a 59;Metropolitana;4;1;1;2;;;7;;35;1;1;;3;3;2;;1;1;2;1;1;1;1;1;1;2;1;1;2;;1;2;2;2;1;;;;;;;;;20180320;Tiene RSH
14826;18 a 44;Metropolitana;7;1;1;2;;7;;;;5;2;5;1;1;1;;4;1;1;1;1;1;1;1;1;3;1;1;2;;2;2;2;2;2;0;2;6;1;2;;;;20170101;Tiene RSH
14827;45 a 59;Metropolitana;7;1;1;2;;5;0;0;55;2;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;1;1;;;;;;;;;20211015;Tiene RSH
14828;45 a 59;Metropolitana;7;1;1;2;;;3;;15;1;1;;1;2;2;;1;1;1;1;1;1;1;1;1;1;3;1;2;;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
14829;45 a 59;Metropolitana;4;1;1;2;;;9;;38;2;1;;1;1;1;;3;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;2;;;;;;;;;20180514;Tiene RSH
14830;45 a 59;Metropolitana;7;1;1;2;;0;2;0;22;5;1;;2;2;2;5;3;2;2;2;1;3;1;1;1;1;3;2;2;;1;2;1;2;1;;;;;;;;;20210729;Tiene RSH
14831;18 a 44;Metropolitana;7;1;1;2;;2;6;;;1;2;5;3;3;2;;4;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20180925;Tiene RSH
14832;18 a 44;Metropolitana;7;1;1;2;;11;0;0;31;1;1;;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;1;2;2;0;2;8;1;1;4;150000;0;20211123;Tiene RSH
14833;18 a 44;Metropolitana;7;1;1;1;2;0;3;0;22;1;1;;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;1;1;2;1;;;;;;;;;20211013;Tiene RSH
14834;45 a 59;Metropolitana;6;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;20170822;Tiene RSH
14835;45 a 59;Metropolitana;6;1;1;1;2;20;;;;1;2;5;1;2;2;;1;1;1;4;1;3;1;1;4;1;1;1;2;;1;1;1;1;1;;;;;;;;;20170822;Tiene RSH
14836;45 a 59;Metropolitana;7;1;1;2;;1;0;0;15;1;1;;1;2;2;5;2;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20211116;Tiene RSH
14837;60 o mayor;Metropolitana;7;1;1;2;;3;0;0;61;1;2;5;2;2;2;5;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20211006;Tiene RSH
14838;18 a 44;Metropolitana;7;1;1;2;;0;0;5;21;1;1;;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20211124;Tiene RSH
14839;60 o mayor;Metropolitana;7;1;1;2;;20;;;;1;2;5;1;2;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;1;2;2;2;1;;;;;;;;;20170101;Tiene RSH
14840;18 a 44;Metropolitana;6;1;1;2;;5;;;;1;1;;1;2;2;;1;1;1;1;1;1;1;1;1;1;1;1;2;;2;2;2;2;1;;;;;;;;;20170710;Tiene RSH
14841;45 a 59;Metropolitana;7;1;1;2;;8;0;0;9;1;1;;2;2;2;5;1;2;1;1;1;1;1;1;1;1;1;1;2;;1;2;1;2;1;;;;;;;;;20211124;Tiene RSH
